,IPA_Number,Symbol,Symbol_Name,Description,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding,Status,UCS_Code,AFII_Code,name,url
24,125,ɽ,right-tail R,,voiced,retroflex,flap,,,,,027D,E2CD,Voiced retroflex flap,https://en.wikipedia.org//wiki/Voiced_retroflex_flap
25,126,ɸ,phi,,voiceless,bilabial,fricative,,,,,0278,E2A4,Voiceless bilabial fricative,https://en.wikipedia.org//wiki/Voiceless_bilabial_fricative
26,127,β,beta,,voiced,bilabial,fricative,,,,,03B2,E2A5,Voiced bilabial fricative,https://en.wikipedia.org//wiki/Voiced_bilabial_fricative
27,128,f,lower-case F,,voiceless,labiodental,fricative,,,,,0066,E2AC,Voiceless labiodental fricative,https://en.wikipedia.org//wiki/Voiceless_labiodental_fricative
28,129,v,lower-case V,,voiced,labiodental,fricative,,,,,0076,E2AD,Voiced labiodental fricative,https://en.wikipedia.org//wiki/Voiced_labiodental_fricative
29,130,θ,theta,,voiceless,dental,fricative,,,,,03B8,E2B2,Voiceless dental fricative,https://en.wikipedia.org//wiki/Voiceless_dental_fricative
30,131,ð,eth,,voiced,dental,fricative,,,,,00F0,E2B3,Voiced dental fricative,https://en.wikipedia.org//wiki/Voiced_dental_fricative
31,132,s,lower-case S,,voiceless,alveolar,fricative,,,,,0073,E2B6,Voiceless alveolar fricative,https://en.wikipedia.org//wiki/Voiceless_alveolar_fricative
32,133,z,lower-case Z,,voiced,alveolar,fricative,,,,,007A,E2B7,Voiced alveolar fricative,https://en.wikipedia.org//wiki/Voiced_alveolar_fricative
33,134,ʃ,esh,,voiceless,postalveolar,fricative,,,,,0283,E2D0,Voiceless postalveolar fricative,https://en.wikipedia.org//wiki/Voiceless_postalveolar_fricative
34,135,ʒ,ezh;tailed Z,,voiced,postalveolar,fricative,,,,,0292,E2D1,Voiced postalveolar fricative,https://en.wikipedia.org//wiki/Voiced_postalveolar_fricative
35,136,ʂ,right-tail S (at left),,voiceless,retroflex,fricative,,,,,0282,E2C9,Voiceless retroflex fricative,https://en.wikipedia.org//wiki/Voiceless_retroflex_fricative
36,137,ʐ,right-tail Z,,voiced,retroflex,fricative,,,,,0290,E2CA,Voiced retroflex fricative,https://en.wikipedia.org//wiki/Voiced_retroflex_fricative
37,138,ç,C cedilla,,voiceless,palatal,fricative,,,,,00E7,E2DA,Voiceless palatal fricative,https://en.wikipedia.org//wiki/Voiceless_palatal_fricative
38,139,ʝ,curly-tail J,,voiced,palatal,fricative,,,,,029D,E2F3,Voiced palatal fricative,https://en.wikipedia.org//wiki/Voiced_palatal_fricative
39,140,x,lower-case X,,voiceless,velar,fricative,,,,,0078,E2E0,Voiceless velar fricative,https://en.wikipedia.org//wiki/Voiceless_velar_fricative
